class_id,class,images,instances,precision,recall,f1,mAP50,mAP50_95
0,Stitch Scissors,9,10,0.8492518488674351,0.8,0.8238905168552673,0.8512500000000001,0.6467083333333333
1,Tip_forcep,150,158,0.7698058532721134,0.7831335580379133,0.7764125148486525,0.7765446433399704,0.34389185946194484
2,Tip_needle_holder,287,291,0.7626367493805253,0.8316151202749141,0.7956336939397499,0.866184124239921,0.40910587442052304
3,finger,332,1775,0.6855586170613253,0.8219718309859155,0.7475933536785337,0.7876195573149015,0.4462029448486874
4,forcep,231,340,0.8068557780514999,0.6941176470588235,0.7462528314060708,0.7496375299595042,0.5610608900938392
5,hand,119,364,0.5779924404563328,0.8626373626373627,0.6921943075019892,0.6183315202270311,0.5656368643646978
6,needle,244,366,0.6582620441270955,0.357876931159427,0.4636704348133291,0.3602837934022002,0.15328586973200334
7,needle_holder,326,525,0.7828236877423284,0.7689722241606523,0.7758361362747265,0.7730429259774849,0.6077939366161869
8,wound,365,467,0.708525767387312,0.5353319057815846,0.609871141260881,0.660694806827095,0.344932126360063
