class,boxes,median_area,p10_area,median_short_side_px,pct_small,pct_medium,pct_large
needle,2050,0.0009187076581790123,7.8455635e-05,12.33344,81.51219512195122,18.4390243902439,0.04878048780487805
wound,2739,0.002510661844,0.0004513126446759259,14.103703703703705,49.90872581234027,50.05476451259584,0.03650967506389193
Tip_forcep,887,0.0025204832175925924,0.0013522429591049383,27.143333333333338,48.47801578354002,51.40924464487035,0.11273957158962795
Tip_needle_holder,1691,0.002998568287037037,0.0017133151523919749,27.623333333333335,34.59491425192194,65.34594914251922,0.05913660555884092
finger,10332,0.018870225694444444,0.005322544608410494,69.14370370370371,3.8521099496709255,58.81726674409601,37.330623306233065
forcep,1842,0.023999039930555553,0.005392122395833333,60.95407407407407,2.985884907709012,43.213897937024974,53.80021715526602
Stitch Scissors,36,0.03586065046296296,0.017034104919000002,83.81,0.0,22.22222222222222,77.77777777777777
needle_holder,2958,0.05976555902777778,0.002507696219,113.80992,9.905341446923597,8.417849898580121,81.67680865449628
hand,1886,0.0839322,0.00203750299,128.66688,12.61930010604454,20.201484623541887,67.17921527041358
